Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
TRT World,https://www.trtworld.com/asia/us-and-china-launch-trade-talks-amid-differences-over-economic-reforms-12713890,US and China launch trade talks amid differences over economic reforms,Two days of high-level talks aimed at settling a six-month trade war between US and China start amid deep differences over US demands for structural economic reforms from Beijing.,6 YEARS AGO,<built-in method now of type object at 0x00007FFB6BF17B60>,China News,TRT World,China,"Two days of high-level talks aimed at settling a six-month trade war between US and China start amid deep differences over US demands for structural economic reforms from Beijing. US Commerce Secretary Wilbur Ross, centre left, chats with Chinese Vice Premier Liu He, centre, during a group photograph session after their meeting at the Diaoyutai State Guesthouse in Beijing, June 3, 2018. US and Chinese negotiators start two days of high-level talks Wednesday aimed at settling a six-month trade war that has weakened both sides, shaken financial markets and clouded the outlook for the global economy. Yet the odds seem stacked against any substantive resolution this week to the standoff between the world's two biggest economies. Perhaps the best that might be hoped for, analysts say, is for the two sides to agree to keep talking. The differences between Beijing and Washington are vast. The United States is essentially demanding that China downsize its economic aspiration to become a supreme world leader in such fields as robotics and electric cars. At the World Economic Forum in Switzerland last week, Alibaba's CEO, Daniel Zhang noted that China has more than one billion consumers, and he maintains that as long as conditions are right, it can be a self-sufficient market."" The two sides will meet next door to the White House in the highest-level talks since US President Donald Trump and Chinese President Xi Jinping agreed a 90-day truce in their trade war in December. TRT World's
Patrick Fok reports from Beijing. Earlier negotiations flamed out. And this time President Trump might be inclined to drive an especially hard bargain after being forced to cave in a dispute with congressional Democrats that partially shut the federal government for 35 days. Charges against Huawei Moreover, a new complication injected itself into US-China relations on the eve of the talks when the Justice Department brought criminal charges Monday against the Chinese tech giant Huawei, accusing it of stealing technology secrets and violating sanctions against Iran. Beijing shot back by demanding that the Trump administration pull back from what it called an ""unreasonable crackdown"" on the Chinese maker of smartphones and telecom gear. ""We are anticipating no big outcomes this week,"" said Erin Ennis, senior vice president at the US-China Business Council. On March 2, the Trump administration is scheduled to escalate its tariffs on $200 billion worth of Chinese imports from 10 percent to 25 percent. The American delegation to this week's talks is led by Trade Representative Robert Lighthizer, a longtime critic of aggressive Chinese trade practices and of US policies that failed to blunt them. Heading the Chinese team is Vice Premier Liu He. The core of the US allegations against China is that Beijing systematically steals trade secrets, forces foreign companies to hand over technology as the price of access to the Chinese market and subsidises its own tech companies. But compelling China to reform its trade policies and treatment of foreign companies will be difficult. The administration has imposed tariffs on $250 billion in Chinese imports; Beijing has retaliated with import taxes on $110 billion in US goods. Trump has threatened to extend the tariffs to an additional $267 billion in Chinese goods. If he did, Trump's import taxes would cover virtually everything China ships to the United States. US officials insist that the Huawei case is entirely separate from the trade negotiations. "
TRT World,https://www.trtworld.com/business/chinas-2018-economic-growth-falls-to-three-decade-low-12714132,China's 2018 economic growth falls to three-decade low,The figures released on Monday showed economic growth cooled to a post-global crisis quarterly low of 6.4 percent in the three months ending in December from the previous quarter's 6.5 percent.,6 YEARS AGO,<built-in method now of type object at 0x00007FFB6BF17B60>,China News,TRT World,China,"The figures released on Monday showed economic growth cooled to a post-global crisis quarterly low of 6.4 percent in the three months ending in December from the previous quarter's 6.5 percent. Automated guided vehicles (AGV) transport containers at an automated container terminal in Qingdao port, Shandong province, China on January 1, 2019. China's 2018 economic growth decelerated to 6.6 percent after activity in the final quarter of the year declined amid a tariff battle with Washington. Data announced Monday showed economic growth cooled to a post-global crisis quarterly low of 6.4 percent in the three months ending in December from the previous quarter's 6.5 percent. TRT World spoke to journalist Patrick Fok in Beijing. Chinese economic growth has been slowing since regulators tightened controls on bank lending in late 2017 to rein in a debt boom. Growth held up through much of 2018 despite President Donald Trump's tariff hikes on Chinese goods in a fight over Beijing's technology ambitions. But exports contracted in December as the penalties began to dampen demand. Growth in investment, retail sales and other indicators also slowed."
TRT World,https://www.trtworld.com/magazine/why-the-failed-us-russia-inf-treaty-risks-a-cold-war-and-nuclear-conflict-12713934,Why the failed US-Russia INF treaty risks a Cold War and nuclear conflict,"The United States is set to withdraw from the INF treaty on February 2, which could lower the threshold for accidental nuclear war, particularly with China in the mix.",6 YEARS AGO,<built-in method now of type object at 0x00007FFB6BF17B60>,China News,TRT World,China,"The United States is set to withdraw from the INF treaty on February 2, which could lower the threshold for accidental nuclear war, particularly with China in the mix.  The “Doomsday Clock”, unveiled every year by the Bulletin of Atomic Scientists, remains at a dangerous two minutes to midnight.   The clock measures how close are we to the apocalyptic midnight — the hour when the human civilisation is predicted to end in a man-made catastrophe. The last time scientists judged the world was this close to disaster was in 1953, during the early volatility of the Cold War and the nuclear standoff that ensued. This time, it’s the impending collapse of the Intermediate-Range Nuclear Forces Treaty (INF) Agreement, and Moscow and Washington’s emphasis on modernising their nuclear forces, instead of dismantling them.  What’s it all about? The Trump administration delivered an ultimatum to Russia, with Secretary of State Mike Pompeo’s warning that the United States will no longer “bury our head in the sand”, following an accusation that Russia had allegedly violated the INF.  The Cold War-era treaty dates back to 1987, a turning point in the arms race between the United States and Russia when both sides agreeing to stop producing missiles with ranges between 500 and 5,500 kilometres.   The Cold War powers agreed that mid-range nuclear weapons made it easier to accidentally trigger nuclear conflict. It was nearly impossible to tell the difference between normal or nuclear warhead-equipped missiles, with the possibility of triggering a nuclear race or war with every missile deployment, launch or test. Pompeo stated that Russia had only 60 days to comply with the terms of the treaty, or the United States would withdraw from the historic agreement, prompting concerns over a renewed arms race between the world powers.  The clock runs out on February 2, and no solution is in sight.  You’re the reason I’m leaving The warning followed a report by Daniel Coats, US Director of National Intelligence, revealing that Russia had developed the 9M729 ‘Novator’ missile in 2015, a violation of the treaty. Russia hid the testing of the ground missile and its capabilities from treaty inspections, before eventually deploying “multiple battalions” of the banned weapon.  The missile is a “direct conventional and nuclear threat against most of Europe and parts of Asia,” said Coats. But the United States has accused Russia of violating the treaty since 2014, with little evidence to support its claim.  Losing the blame game  US and Russian officials met in Geneva on January 15 to discuss compliance issues with the INF, while Russia exhibited the 9M729 missile to military attaches in Moscow to ease concerns, claiming that they did not violate the maximum range of the treaty (480 km). Their efforts had no effect.  The fact that the US beat Russia to a withdrawal however, handed the Kremlin a major public relations victory.  Meanwhile, Russia denied all charges, and countered with three of their own. Two of the charges don’t hold up to scrutiny, but the third may be grounded in fact.  Russia accused the US of stationing its Mk-41 launcher in its Aegis Ashore Facility in Romania, which has been confirmed by many reports. Less well known is that the launcher can fire missiles of any kind, including mid-range nuclear warheads.   Who killed the treaty? Following the failed talks, and days ahead of the US withdrawal from the critical treaty, the US has begun the production of low-yield nuclear warheads, which could also lower the threshold for nuclear conflict.  Ahead of the US planned withdrawal, this has sparked concerns of an impending arms race.  But the treaty should have prevented the Russia from building the ‘Novator’, which can strike NATO allies with little warning in minutes. The treaty’s main criticism was that it only limited the US and Russia, with no restrictions on China, Iran, North Korea or other rising world powers.  The Red Dragon China has expressed no interest in joining the INF treaty.   With growing turbulence in the South China sea, the US is hard pressed to contain China as it catches up on the technological advantage that the United States once exclusively enjoyed. The military balance is shifting, and not in the United State’s favor. China recently deployed a ‘Carrier Killer’ intermediate nuclear-capable missile, the Dong Feng-26, which translates to ‘East Wind’. Difficult to shoot down, the ballistic missile is able to adjust position mid-flight, and has the potential to cripple or destroy an aircraft carrier with a range of 4,500 km. As part of a multi-layered defence strategy, the DF-26 allows China to neutralise or destroy prized US aircraft carrier from a distance. The United States’ most recent aircraft carrier cost $13 billion, while a volley of DF-26 missiles would cost less than $20 million, putting the US at a severe strategic disadvantage.  The aircraft carrier holds a prized role in any navy, serving as a launch base for air strikes and beach invasions. US aircraft carriers form the backbone of its navy, and are key to its force projection.  The impending withdrawal from the INF treaty may be motivated by a policy of Chinese containment.  Admiral Harry Harris, former commander of Pacific Command, stated, “We have no ground-based [missile] capability that can threaten China because of, among other things, our rigid adherence to the [INF] treaty.” In his testimony to Congress, he cited Chinese cutting-edge developments on weapons systems that “far outrange US systems”.  “They have done this at a fraction of the cost of some of our more expensive systems. Constrained in part by our adherence to the INF treaty, the US has fallen behind in our ability to match the long-range fires capabilities of the new era,” he added. Top-level White House officials have not shied away from revealing the true drive behind the treaty withdrawal. US National Security Advisor John Bolton commented on the restrictions of the INF treaty being in the interest of China, “If I were Chinese, I would say the same thing. Why not have the Americans bound, and the Chinese not bound?”  More recently, Bolton tried to convince Moscow that Chinese missiles are a threat to “the heart of Russia”. “We see China, Iran, North Korea all developing capabilities which would violate the treaty if they were parties to it. So the possibility that could have existed 15 years ago to enlarge the treaty and make it universal today just simply was not practical,” he added. The US approach to the INF treaty has been one of ultimatums thus far, and shows no signs of goodwill.  In his initial announcement of the pending withdrawal, Pompeo stated: “The burden falls on Russia to make the necessary changes, only they can save this treaty.” Fallout and a renewed arms race Russia however, is not likely to respond to US ultimatums, or back down from US charges given that it would mean admitting to a violation in the first place, without a US overture of the same. The consequences of the INF’s collapse are far-reaching, and will have deep effects on global security and nuclear disarmament. The United Nations Secretary General Antonio Guterres urged the US and Russia to resume talks and extend the The Strategic Arms Reduction Treaty (START), in response to the ratcheting tensions between the two states. START took place between the US and Soviet Union in 1991, and was hailed as the beginning of the end of the Cold War. Resuming talks with the shadow of non-compliance to the INF treaty however, is not likely to lead to tangible outcomes. US General Joseph Dunford, chairman of the Joint Chiefs of Staff, spoke out against it, finding it “difficult to envision progress in extending (New START)” given the breakdown of the INF.  Trump’s staunch position draw largely on Bolton, who has come under question regarding his capacity to act as a national security adviser. Bolton was formerly a lawyer, with no experience as a strategist, and has consistently expressed his dislike of international organisations.  In his first speech as a national security adviser, he called for the end of the International Criminal Court, and has previously criticised the United Nations as well.  Who loses, who wins? Bolton’s push for end of the INF treaty may prove profitable to US arms industries however, a fact not lost on Russia. Russian Foreign Minister Sergei Lavrov was quick to address this. ""American people should also think about the rationality of their government’s plans to withdraw from the INF Treaty, which will trigger a new arms race. If it serves someone’s interest, it is the US military-industrial complex since it promises new large orders. But the life of Americans will inevitably become less secure,"" he said in a statement. NATO Secretary General Jens Stoltenberg commented on the detriments of the treaty’s collapse, stating: “NATO is unlikely to deploy more nuclear weapons to Europe should an arms control treaty between Washington and Moscow collapse.” With a worsening security climate and more belligerent China, it remains to be seen whether the INF treaty can be salvaged for changed times. The price of failed dialogue this time is drastic however, giving rise to a new arms race, a lowered threshold for nuclear conflict and a new cold war."
TRT World,https://www.trtworld.com/asia/china-urges-us-to-abide-by-one-china-after-warships-sail-through-strait-12714009,"China urges US to abide by ""one China"" after warships sail through strait",Taiwan's defence ministry said in a statement late that the voyage of the US vessels was in accordance with regulations. The move will likely be viewed in Taiwan as a sign of support from US President Donald Trump's government.,6 YEARS AGO,<built-in method now of type object at 0x00007FFB6BF17B60>,China News,TRT World,China,"Taiwan's defence ministry said in a statement late that the voyage of the US vessels was in accordance with regulations. The move will likely be viewed in Taiwan as a sign of support from US President Donald Trump's government. The US Navy Arleigh Burke-class guided-missile destroyer USS Stockdale transits the Philippine Sea on November 16, 2018. China urges the United States to prudently and properly handle the Taiwan-related issues, according to Chinese Foreign Ministry spokesman Geng Shuang on Thursday. Geng made the comments in response to the passage by two US warships through the Taiwan Strait on Wednesday. He said China has closely monitored the passage from start to end and expressed its concerns to the US  side. ""The Taiwan issue concerns the sovereignty and territorial integrity of China and is the most important and sensitive issue in China-US relations,"" Geng said.   ""We urge the US  side to strictly abide by the one-China principle and the stipulations of the three China-US joint communiques, prudently and properly handling Taiwan-related issues so as not to harm China-US relations as well as the peace and stability across the Taiwan Strait,"" he added.  ""Self-ruled island"" The voyage risks further heightening tensions with China, which considers Taiwan its own and has not ruled out the use of force to bring the self-ruled island under its control. Taiwan's defence ministry said in a statement late on Thursday the ships were moving in a northerly direction and that their voyage was in accordance with regulations. It said Taiwan closely monitored the operation to ""ensure the security of the seas and regional stability"". The move will likely be viewed in Taiwan as a sign of support from US President Donald Trump's government amid growing friction between Taipei and Beijing. China has stepped up pressure on Taiwan since President Tsai Ing-wen, from the pro-independence ruling party, took office in 2016. It has regularly sent military aircraft and ships to circle the island on drills in the past few years. Beijing sent several bombers and aircraft through the Bashi Channel, which separates Taiwan from the Philippines, earlier on Thursday, Taiwan's defence ministry said in a separate statement. A similar Chinese operation was conducted on Tuesday, the ministry said, and both were monitored closely. Chinese President Xi Jinping said in early January China reserves the right to use force to bring Taiwan under its control. In response, Tsai vowed to defend the island's democracy and called for international support to protect Taiwan's way of life. Trump recently signed into law the Asia Reassurance Initiative Act reaffirming the US commitment to Taiwan, including arms sales. Washington has no formal ties with Taiwan but is bound by law to help it defend itself and is its main source of arms. "
TRT World,https://www.trtworld.com/asia/china-recognises-afghan-taliban-as-political-force-12714073,China recognises Afghan Taliban as political force,China's ambassador to Pakistan says his country recognises the group as a political force because they are part of the Afghan peace process.,6 YEARS AGO,<built-in method now of type object at 0x00007FFB6BF17B60>,China News,TRT World,China,"China's ambassador to Pakistan says his country recognises the group as a political force because they are part of the Afghan peace process. Taliban militants hand over their weapons after joining the Afghan government's reconciliation and reintegration program, in Herat province on May 14, 2012 China recognises the Taliban as a “political force” amid its participation in the Afghan peace process, said its envoy to Pakistan, according to local media. Yao Jing, China’s ambassador in Islamabad, also praised Pakistan’s role in facilitating the Afghan peace process -- including its efforts to facilitate talks between the Taliban and US  -- and helping end the long conflict in Afghanistan. ""China will pick Taliban as a political force because they are now part of the Afghan political process and they have some political concerns,"" the Dawn quoted Yao telling a gathering in the northwestern city of Peshawar. China has had contacts with the Afghan government and Taliban, and its special envoy visited the Taliban political office in Doha, he added. ""China supports all efforts taken for peace in Afghanistan because the Afghan people deserve peace and stability,"" said Yao. On Jauary 14, on a four-nation trip, top US peace negotiator Zalmay Khalilzad visited Beijing and met with Chinese officials. ""Fruitful talks with senior Chinese officials who committed to the success of Afghan peace. We discussed regional support for an inclusive peace process for all Afghans & ensuring Afghanistan never again serves as a platform for terrorism,"" Khalilzad tweeted after his meetings with Chinese officials Last December, Pakistan confirmed it had arranged rare direct talks between Washington and the Taliban, paving the way for a negotiated settlement of the conflict that has entered its 18th year. In 2015, Pakistan facilitated the landmark first round of direct talks between the Afghan government and the Taliban in Islamabad, but the process broke down after Taliban announced the death of their longtime leader Mullah Omer, triggering a bitter power struggle within the militia. Chances for resumption of the stalled process dimmed further following the death of Omer’s successor, Mullah Mansur, in a US drone strike in 2016 on Pakistan, near the Afghan border. Since then, several attempts to resume the stalled peace process have been made by a four-nation group made up of Pakistan, Afghanistan, the US, and China"
TRT World,https://www.trtworld.com/asia/conservationists-combat-bird-poaching-in-china-12714146,Conservationists combat bird poaching in China,Conservationists seek more volunteers to join the front line against poaching to protect birds in China.,6 YEARS AGO,<built-in method now of type object at 0x00007FFB6BF17B60>,China News,TRT World,China,"Conservationists seek more volunteers to join the front line against poaching to protect birds in China. In China, poaching is still a big threat to wild birds. Conservationists say poaching is driving some bird species to the brink of extinction in China, a major stopover for tens of millions of birds migrating between the Arctic and places like Australia. ""I found a lot of traps set up for birds, especially during the migration seasons in the spring and autumn. Birds can't really see them though, so a lot of them are caught. I feel sorry for them so I try to remove the nets and ask local law enforcement for help,"" says anti-poacher Gu Xuan. Chinese activists estimate that 7-10 million wild birds are trapped in the country each year, based on extrapolated numbers from the reports of thousands of activists. TRT World's
Samantha Vadas reports from Beijing."
TRT World,https://www.trtworld.com/asia/death-penalty-for-canadian-escalates-china-canada-tensions-12714246,Death penalty for Canadian escalates China-Canada tensions,A Chinese court sentenced Canadian Robert Lloyd Schellenberg to death in a retrial of a drug smuggling case for which he was handed a 15-year prison sentence.,6 YEARS AGO,<built-in method now of type object at 0x00007FFB6BF17B60>,China News,TRT World,China,"A Chinese court sentenced Canadian Robert Lloyd Schellenberg to death in a retrial of a drug smuggling case for which he was handed a 15-year prison sentence. This photograph taken and released by the Intermediate Peoples' Court of Dalian on January 14, 2019 shows Canadian Robert Lloyd Schellenberg (C) during his retrial on drug trafficking charges in the court in Dalian in China's northeast Liaoning province. A Chinese court on Monday sentenced a Canadian man to be executed for drug smuggling, prompting Canada's Prime Minister Justin Trudeau to accuse China of using the death penalty arbitrarily. The ruling, and Trudeau's reaction, could aggravate already sour relations between Beijing and Ottawa following the arrest of a senior Chinese executive in Canada and China's subsequent detention of two Canadians. The Dalian Intermediate People's Court in China's northeast province of Liaoning re-tried Robert Lloyd Schellenberg, who had appealed his original 15-year prison sentence, and decided on execution, the court said in a statement. Trudeau strongly condemned Monday's proceeding, suggesting that China was using its judicial system to pressure Canada over the arrest of Meng Wanzhou, chief financial officer of the Chinese telecommunications giant Huawei. In his strongest comments yet, Trudeau said, ""All countries around the world"" should be concerned that Beijing is acting arbitrarily with its justice system. ""It is of extreme concern to us as a government, as it should be to all our international friends and allies, that China has chosen to begin to arbitrarily apply a death penalty,"" Trudeau said. Canada later updated its travel advisory for China urging Canadians to ""exercise a high degree of caution due to the risk of arbitrary enforcement of local laws."" 10 days to appeal Schellenberg was told in court he had the right to appeal to Liaoning High Court within 10 days upon receiving the ruling, the intermediate court said in a second statement. Schellenberg's lawyer said on Monday he would appeal. ""It is of extreme concern to us as a government, as it should be to all our international friends and allies, that China has chosen to begin to arbitrarily apply (the) death penalty ... as in this case,"" Trudeau told reporters in Ottawa. Schellenberg's aunt, Lauri Nelson-Jones, said the family's worst fears had been confirmed. ""Our thoughts are with Robert at this time. It is rather unimaginable what he must be feeling and thinking,"" she said in a statement to Reuters. ""It is a horrific, unfortunate, heartbreaking situation. We anxiously anticipate any news regarding an appeal."" TRT World speaks to Chris Alexander, a former Canadian diplomat in Russia.   'Politicising law'  China is not putting pressure on Canada by sentencing a Canadian to death for drug smuggling, and any suggestion it was doing so showed ""rude contempt"" of China's law, its state media said. ""Public opinion in Canada has claimed recently that China is 'politicizing' Schellenberg's case, but what Canada is doing is actually politicizing law,"" the Global Times said. China-Canada ties turned icy in early December after Meng was arrested in Vancouver on a US extradition warrant. China warned of unspecified consequences unless Meng was released, and detained Michael Kovrig, a Canadian diplomat on unpaid leave from the embassy in Beijing, and Michael Spavor, a Canadian consultant, on suspicion of endangering state security. Beijing has not drawn a direct link between the detentions and the arrest of Meng, wanted by US authorities for allegedly misleading multinational banks about Iran-linked transactions. Western diplomats in Beijing, however, say the cases are a tit-for-tat reprisal. Lu Shaye, China's ambassador to Canada, suggested in a newspaper article last week that the arrest of Kovrig and Spavor was ""China's self-defence,"" but did not give details. Earlier on Monday, China's government dismissed Trudeau's statement that Kovrig enjoyed some form of diplomatic immunity. A Chinese foreign ministry spokeswoman said Trudeau should ""earnestly study"" the Vienna Convention governing diplomatic ties so as to ""not become a laughing stock."" Trudeau said Ottawa ""will continue to engage strongly"" with Beijing over Kovrig's status and what he called China's arbitrary use of justice. Rights groups condemned the Schellenberg sentence while Guy St-Jacques, who was Canada's ambassador in Beijing when Kovrig worked there, expressed concern at how quickly the courts had acted. ""The Canadian government will make representations in Beijing, but based on past experience I am not sure whether this will work,"" he told the CBC. ""We are in a very difficult place."" 222 kilogrammes of methamphetamine St-Jacques said Canada should immediately call for a top-level meeting of foreign policy and security advisers from the two nations ""to impress upon the Chinese side that they have to abide by international law"". Alex Lawrence, chief spokesman for Canadian Foreign Minister Chrystia Freeland, declined to comment. William Nee of Amnesty International noted that drug-related offences did not meet the threshold of the ""most serious crimes"" to which the death penalty must be restricted under international law. Drug smuggling is routinely punished severely in China. Beijing has previously executed foreign nationals convicted of drug-related crimes - a Briton was executed in 2009. The court said Schellenberg had conspired with others in an attempt to smuggle 222 kg (489.43 lb) of methamphetamine from China to Australia in late 2014. Chinese state television said in an earlier report that Schellenberg argued in court that he was a tourist visiting China and was framed by criminals. A lawyer for Schellenberg, Zhang Dongshuo, told Reuters his client would probably appeal against the death sentence. The Liaoning High Court in late December ordered the case retried after prosecutors said the sentence was too light and improper. Beijing considers the number of people executed in China to be a state secret. International human rights organisations estimate the annual figure at around 2,000."
TRT World,https://www.trtworld.com/asia/mining-accident-in-china-kills-21-12714431,Mining accident in China kills 21,A total of 87 people were working underground in the Shaanxi province mine at the time of the accident on Saturday afternoon.,6 YEARS AGO,<built-in method now of type object at 0x00007FFB6BF17B60>,China News,TRT World,China,"A total of 87 people were working underground in the Shaanxi province mine at the time of the accident on Saturday afternoon. The number of fatalities reported in cave-ins, explosions and other disasters in Chinese coal mines has fallen sharply over the past decade but the industry still is the world's deadliest. (Oct. 21, 2018) Twenty-one coal miners were killed after a roof collapsed at a coal mine in northern China, local media reported. A total of 87 people were working underground in the Shaanxi province mine at the time of the accident on Saturday afternoon, official news agency Xinhua reported, citing local authorities. Sixty-six other miners were rescued, the city government said in a statement. The cause of the accident at the site, run by Baiji Mining, is still under investigation. Deadly mining accidents are common in China, where the industry has a poor safety record despite efforts to improve coal production conditions and crack down on illegal mines. In December last year, seven miners were killed and three others injured in an accident at a coal mine in China's southwest. In October, 21 miners died in eastern Shandong province after pressure inside a mine caused rocks to fracture and break, blocking the tunnel and trapping workers. Only one miner was rescued alive. According to China's National Coal Mine Safety Administration, the country saw 375 coal mining related deaths in 2017, down 28.7 percent year-on-year. But despite improvements, ""the situation of coal mine safety production is still grim,"" the bureau said in a statement following a coal mine safety conference last January."
TRT World,https://www.trtworld.com/asia/taiwan-leader-appoints-new-premier-following-election-loss-12714727,Taiwan leader appoints new premier following election loss,"November's election losses presented a major challenge to President Tsai Ing-wen, who faced mounting criticism at home over her reform agenda while facing renewed threats from China, which considers the self-ruled island its own.",6 YEARS AGO,<built-in method now of type object at 0x00007FFB6BF17B60>,China News,TRT World,China,"November's election losses presented a major challenge to President Tsai Ing-wen, who faced mounting criticism at home over her reform agenda while facing renewed threats from China, which considers the self-ruled island its own. (L-R) Former premier William Lai, Taiwan President Tsai Ing-wen and new premier Su Tseng-chang join hands after a news conference in Taipei, Taiwan on January 11, 2019. Taiwanese President Tsai Ing-wen appointed a close political ally as premier during a Cabinet reshuffle on Friday following the ruling party's heavy election losses in November and growing pressure from rival China. Su Tseng-chang took charge of the Cabinet amid tense relations with Beijing, which threatens to use force to take control of the island it claims as its own. China responded to Tsai's 2016 victory by cutting all contacts with her government and has ratcheted up economic and diplomatic pressure on the self-governing democracy. The opposition Nationalist Party, which favours closer ties with Beijing, won 15 of 22 major seats in the November 24 local elections, including in the ruling Democratic Progressive Party's southern stronghold of Kaohsiung. Soon after, Tsai resigned as chair of the DPP, which rejects China's demands for unification with the mainland. Analysts attributed the DPP's election losses to disappointment with the performance of Tsai's government, which had won a broad mandate, including seizing a majority in the legislature from the Nationalists for the first time since full democracy was attained three decades ago. 'Safeguarding sovereignty' ""The people expect us to improve livelihoods. The people expect us to protect democracy. The people expect us to safeguard sovereignty,"" Tsai said at a ceremony at the Presidential Office Building a day after incumbent William Lai said he was resigning along with the entire Cabinet in response to local election defeats.  ""These challenges need an experienced premier such as Su Tseng-chang to overcome."" Su thanked Tsai for her trust and support, adding, ""Now, I will lead the team and roll up my sleeves to satisfy the people's expectations and respond to people's interests."" China's pressure campaign has increased Taiwan's international isolation, reducing its number of diplomatic allies to just 17, excluding its representatives to international gatherings, and forcing international companies to designate Taiwan as a part of China.  Chinese President Xi Jinping renewed the threat of invasion in a January 2 address, saying the ruling communists ""made no promises to abandon the use of force."" The island's high-tech economy continues to grow at a sluggish pace, and salaries for graduates have remained flat, increasing the lure of opportunities in China. Efforts at pension and fiscal reform have also been unpopular. Su, 71, was a human rights lawyer and co-founder of the DPP during the former martial law era under the Nationalists, who shifted their government from China to Taiwan after defeat by the communists on the mainland in 1949. He previously served as premier in 2006-07, as well as party chairman, legislator and county magistrate."
TRT World,https://www.trtworld.com/asia/chinas-xi-hopes-us-north-korea-will-meet-halfway-12714753,"China's Xi hopes US, North Korea will 'meet halfway'",North Korean leader Kim Jong-un and Chinese President Xi Jinping held a summit this week that reasserted China's role in the denuclearisation process ahead of an expected second summit between Kim and his US counterpart Donald Trump,6 YEARS AGO,<built-in method now of type object at 0x00007FFB6BF17B60>,China News,TRT World,China,"North Korean leader Kim Jong-un and Chinese President Xi Jinping held a summit this week that reasserted China's role in the denuclearisation process ahead of an expected second summit between Kim and his US counterpart Donald Trump Chinese President Xi Jinping (L) holds a welcoming ceremony for North Korean leader Kim Jong-un before their talks at the Great Hall of the People in Beijing, China on January 8, 2019. Chinese President Xi Jinping offered Democratic People's Republic of Korea (DPRK) leader Kim Jong-un firm backing in deadlocked nuclear talks with the United States, insisting the two sides should meet ""halfway"", Chinese state media said on Thursday. Kim visited Beijing this week for two days of talks that reasserted China's role in the process, and were seen as a strategy session ahead of an expected second summit between the North Korean leader and US President Donald Trump. At their first meeting in Singapore in June, Kim and Trump signed a vaguely worded document with Kim pledging to work towards the ""denuclearisation of the Korean peninsula."" But progress has since stalled with Pyongyang and Washington – which stations 28,500 troops in South Korea – disagreeing over what that means. The DPRK wants relief from the multiple sets of sanctions imposed on it over its nuclear weapons and ballistic missile programmes, while the US wants the measures to remain in place until it gives up its arms – something Pyongyang has made no public promise to do. China also wants the sanctions relaxed and Xi said he ""hopes that the DPRK and the United States will meet each other halfway"" according to China's state news agency Xinhua. Xi ""spoke highly of the positive measures taken by the DPRK side,"" Xinhua added. North Korea has carried out six nuclear blasts and launched missiles it says are capable of reaching the whole of the United States, but has carried out no such tests for more than a year, and blew up the entrances to a nuclear testing ground it said it no longer needed. Pyongyang has rejected demands for what it calls its ""unilateral"" disarmament as ""gangster-like."" Trump's rhetoric following the Singapore meeting has assumed a commitment from Pyongyang, without mentioning the US nuclear umbrella in the northeast Asian region, which the DPRK wants removed. China is the North's sole major ally and key trade partner but relations had deteriorated over Pyongyang's nuclear activities, before warming up last year, with Kim meeting Xi three times. Kim ""raised concern"" about the impasse in talks with the US, according to Pyongyang's official KCNA news agency, which said the Chinese leader had issued a ringing endorsement of the North's position. ""Xi Jinping said that the legitimate issues raised by the DPRK are rightful demands and that he fully agrees that the DPRK's reasonable interests should be justly resolved,"" it said.  Summit 'imminent'  Each of the previous Kim-Xi meetings have come shortly before or after the North Korean's summits with either Trump or South Korean President Moon Jae-in. Trump said Sunday the US and North Korea were negotiating the location of their next summit, a meeting Moon said Thursday was ""imminent."" Pyongyang needed to take ""bold, practical measures for denuclearisation"" to ensure sanctions are lifted, Moon told reporters, but acknowledging Pyongyang's concerns at the lack of reciprocity added that ""corresponding measures"" were also needed from the US, such as agreeing a ""peace regime"" and formally declaring an end to the 1950-53 Korean War. Moon acknowledged the Singapore agreement was ""somewhat vague,"" and there was ""scepticism"" over Kim's denuclearisation pledge. But Kim had assured him and other leaders that his view of denuclearisation was ""no different in any way from what the international community demands,"" Moon said, and Pyongyang would not link it to the presence of US forces in the South or nearby. Nonetheless a commentary carried by KCNA last month stressed that when Pyongyang refers to ""denuclearisation of the Korean peninsula"", it includes the North, the South, and ""surrounding areas from where the Korean peninsula is targeted."" Birthday banquet for Kim Washington and Beijing have competing strategic interests in northeast Asia, and Xinhua said Xi had re-asserted China's importance in the diplomatic process. Beijing stands ready to ""play a positive and constructive role in maintaining peace and stability and realising denuclearisation on the peninsula and lasting peace and stability in the region,"" it cited the Chinese president as saying. Xi greeted Kim at Beijing's ornate Great Hall of the People on Tuesday – believed to be the North Korean leader's birthday – before hosting a welcome banquet for Kim and his wife Ri Sol Ju. Kim visited a pharmaceutical plant that makes traditional Chinese medicine on Wednesday and met Xi again for lunch before heading home. The visit coincided with trade talks between Chinese and US officials. Analysts say China could use the North Korean issue as a bargaining chip in the negotiations, but Beijing's foreign ministry rejected any link between Kim's trip and the talks. There was a ""rare historic opportunity"" for a political settlement on the peninsula, Xi said according to Xinhua, and China ""supports the DPRK and the United States holding summits and achieving results."""
